time,x,ema_signal,fir_signal
13.9375,2171.0,2171.64468847693,2174.892875428968
13.96875,2172.0,2171.802802104696,2175.0254551681987
14.0,2169.0,2170.5555551681064,2174.9641214028848
14.03125,2171.0,2170.753333118299,2174.66373260706
14.0625,2175.0,2172.643099880656,2174.1504950450135
14.09375,2166.0,2169.686920433764,2173.493709064864
14.125,2165.0,2167.601240840739,2172.7974421931185
14.15625,2167.0,2167.33368866661,2172.1838337206304
14.1875,2167.0,2167.185197209969,2171.7269818388
14.21875,2165.0,2166.212784451533,2171.4112958522596
14.25,2165.0,2165.6730953706005,2171.1416011047204
14.28125,2171.0,2168.043567930684,2170.7919946646607
14.3125,2166.0,2167.134180201529,2170.2564462743053
14.34375,2163.0,2165.2944700118487,2169.4883256593903
14.375,2162.0,2163.828430856576,2168.5663325135565
14.40625,2167.0,2165.2397791254,2167.676421223649
14.4375,2163.0,2164.243077414597,2166.9983953279093
14.46875,2164.0,2164.1349079651013,2166.596506884125
14.5,2160.0,2162.294873920632,2166.4043459308955
14.53125,2161.0,2161.7186550259503,2166.271866091707
14.5625,2170.0,2165.4038535394025,2166.054816377719
14.59375,2162.0,2163.8891387143685,2165.6651010653095
14.625,2161.0,2162.6034719864747,2165.106490525918
14.65625,2164.0,2163.2249269524937,2164.4865864669055
14.6875,2161.0,2162.234834458634,2163.931592069106
14.71875,2161.0,2161.685333124542,2163.5319160139834
14.75,2162.0,2161.825359884121,2163.3269739713005
14.78125,2160.0,2161.013074735687,2163.2819291962146
14.8125,2160.0,2160.562256478306,2163.2995999245118
14.84375,2162.0,2161.20205234546,2163.2721794386903
14.875,2160.0,2160.6671390517304,2163.1254857380754
14.90625,2162.0,2161.2602621737105,2162.826625405282
14.9375,2160.0,2160.6994455064096,2162.394734993253
14.96875,2161.0,2160.8331922560574,2161.903837795047
15.0,2160.0,2160.462421702112,2161.4598516486712
15.03125,2160.0,2160.256644044672,2161.137215872306
15.0625,2161.0,2160.587437444793,2160.952040760598
15.09375,2162.0,2161.21602778186,2160.8673601321007
15.125,2161.0,2161.1198954189326,2160.8270044537044
15.15625,2160.0,2160.621541957508,2160.795218422577
15.1875,2160.0,2160.344955786417,2160.7501376379028
15.21875,2160.0,2160.191450461461,2160.6922296421712
